date,hourly_trend,hourly_atr_percentile,hourly_momentum_z,hourly_vol_regime
2023-04-28,0,50.0,0.0,normal
2023-05-01,0,50.0,0.0,normal
2023-05-02,0,50.0,0.0,normal
2023-05-03,0,50.0,0.0,normal
2023-05-04,0,50.0,0.0,normal
2023-05-05,0,50.0,0.0,normal
2023-05-08,0,50.0,0.0,normal
2023-05-09,1,50.0,0.0,normal
2023-05-10,1,50.0,0.0,normal
2023-05-11,1,50.0,0.0,normal
2023-05-12,1,50.0,0.0,normal
2023-05-15,-1,50.0,0.5337317483832363,normal
2023-05-16,-1,50.0,-0.28161314942983934,normal
2023-05-17,1,50.0,0.9656427354469121,normal
2023-05-18,1,50.0,1.4687022400538992,normal
2023-05-19,1,50.0,1.2242860177286239,normal
2023-05-22,1,50.0,0.18014264856275575,normal
2023-05-23,1,50.0,-1.4133275530484077,normal
2023-05-24,-1,50.0,-1.5484909050730218,normal
2023-05-25,-1,50.0,-0.5869462922013889,normal
2023-05-26,-1,70.0,1.673468747552039,normal
2023-05-30,1,42.857142857142854,1.159692929990284,normal
2023-05-31,1,45.45454545454545,-0.3684745309971839,normal
2023-06-01,1,39.130434782608695,0.08704979441880457,normal
2023-06-02,1,50.0,1.7870992567793242,normal
2023-06-05,1,36.0,1.3398090151030397,normal
2023-06-06,1,7.6923076923076925,0.18018265244305892,low
2023-06-07,1,11.11111111111111,-0.47873783218897153,low
2023-06-08,1,7.142857142857142,0.053640564151711395,low
2023-06-09,1,13.793103448275861,0.016750195758253796,low
2023-06-12,1,3.3333333333333335,0.891406474157361,low
2023-06-13,1,22.58064516129032,0.5883095921360488,low
2023-06-14,1,84.375,0.8563245831935451,high
2023-06-15,1,87.87878787878788,0.9029838736429593,high
2023-06-16,1,70.58823529411765,-0.05752840181784864,normal
2023-06-20,1,57.14285714285714,-0.7844230133713437,normal
2023-06-21,1,58.333333333333336,-1.6585332460354822,normal
2023-06-22,-1,43.24324324324324,-0.06386122376168722,normal
2023-06-23,-1,52.63157894736842,-0.6933895492597661,normal
2023-06-26,-1,51.28205128205128,-1.0365577119339202,normal
2023-06-27,-1,17.5,0.20559971634701052,low
2023-06-28,-1,21.951219512195124,0.18862326945537997,low
2023-06-29,1,30.952380952380953,0.7471394379485955,normal
2023-06-30,1,39.53488372093023,1.1670628384444595,normal
2023-07-03,1,11.363636363636363,1.206428965413737,low
2023-07-05,1,0.0,0.6686178401773253,low
2023-07-06,1,26.08695652173913,-1.0733047812444634,normal
2023-07-07,1,63.829787234042556,-1.238970082426284,normal
2023-07-10,-1,31.25,0.054116400241779085,normal
2023-07-11,-1,8.16326530612245,0.25866137940595196,low
2023-07-12,1,48.0,0.959165703007737,normal
2023-07-13,1,31.372549019607842,1.4009055162111776,normal
2023-07-14,1,3.8461538461538463,0.02022035330006886,low
2023-07-17,1,1.8867924528301887,0.18718331123110168,low
2023-07-18,1,3.7037037037037033,0.3316519046293006,low
2023-07-19,1,16.363636363636363,0.6157126880538691,low
2023-07-20,1,30.357142857142854,-0.2984443524149728,normal
2023-07-21,1,28.07017543859649,-1.084928060580368,normal
2023-07-24,1,8.620689655172415,-0.24279786932133493,low
2023-07-25,1,1.694915254237288,0.2255794201030153,low
2023-07-26,1,10.0,-0.11658767494403977,low
2023-07-27,1,86.88524590163934,-0.8353789190327146,high
2023-07-28,1,91.93548387096774,0.03839404593061596,high
2023-07-31,1,47.61904761904761,-0.4316431209756686,normal
2023-08-01,1,7.8125,-0.46905932423294244,low
2023-08-02,-1,56.92307692307692,-1.991563225024526,normal
2023-08-03,-1,81.81818181818183,-1.8291366445363144,high
2023-08-04,-1,83.5820895522388,-1.4010115730052446,high
2023-08-07,-1,82.35294117647058,0.3214266869738433,high
2023-08-08,-1,73.91304347826086,-0.6920180551014735,normal
2023-08-09,-1,87.14285714285714,-1.119780340512281,high
2023-08-10,-1,98.59154929577466,-0.381532701691727,high
2023-08-11,-1,97.22222222222221,-0.9055942540030242,high
2023-08-14,-1,63.013698630136986,-0.8646800535116883,normal
2023-08-15,-1,62.16216216216216,-0.8959247810499906,normal
2023-08-16,-1,84.0,-1.482044416418132,high
2023-08-17,-1,78.94736842105263,-1.712227418137805,high
2023-08-18,-1,85.71428571428571,-1.5507403743265273,high
2023-08-21,-1,74.35897435897436,-0.3744580751991848,normal
2023-08-22,-1,46.835443037974684,0.6596364582567904,normal
2023-08-23,-1,38.75,1.1205003267934057,normal
2023-08-24,1,62.96296296296296,-0.7560006916190719,normal
2023-08-25,1,95.1219512195122,-0.3932585475680231,high
2023-08-28,1,96.3855421686747,-0.07024145836347488,high
2023-08-29,1,77.38095238095238,2.292284629628664,high
2023-08-30,1,42.35294117647059,1.4866929238469748,normal
2023-08-31,1,30.23255813953488,0.725849859323896,normal
2023-09-01,1,41.37931034482759,0.20799926169946084,normal
2023-09-05,1,35.22727272727273,-0.8939778313290175,normal
2023-09-06,1,29.213483146067414,-1.484639288753422,normal
2023-09-07,-1,47.77777777777778,-1.1453430213410885,normal
2023-09-08,-1,31.868131868131865,-0.2135170852934904,normal
2023-09-11,-1,11.956521739130435,1.0224349817298897,low
2023-09-12,-1,18.27956989247312,-0.2482674579223278,low
2023-09-13,1,28.723404255319153,-0.32639317260094564,normal
2023-09-14,1,25.263157894736842,0.7303912629912617,normal
2023-09-15,1,59.375,-0.7006415140309824,normal
2023-09-18,-1,31.958762886597935,-1.112478433921167,normal
2023-09-19,-1,8.16326530612245,-0.7564484333069377,low
2023-09-20,-1,61.61616161616161,-1.0925236640533487,normal
2023-09-21,-1,87.0,-2.1373860841237633,high
2023-09-22,-1,88.11881188118812,-2.5811996949769753,high
2023-09-25,-1,81.37254901960785,-0.4307990225336664,high
2023-09-26,-1,76.69902912621359,-1.293650217928281,high
2023-09-27,-1,91.34615384615384,-0.5785906937706685,high
2023-09-28,-1,95.23809523809523,0.30524826910485775,high
2023-09-29,-1,96.22641509433963,0.28043648534843274,high
2023-10-02,-1,95.32710280373831,0.3471332105103945,high
2023-10-03,-1,91.66666666666666,-1.6435836292923847,high
2023-10-04,-1,88.07339449541286,-0.25058341449275007,high
2023-10-05,-1,82.72727272727273,0.6332036909505602,high
2023-10-06,-1,90.09009009009009,2.1663037531085134,high
2023-10-09,1,85.71428571428571,2.042028219527723,high
2023-10-10,1,64.60176991150442,2.448317961925302,normal
2023-10-11,1,58.77192982456141,1.676621411460651,normal
2023-10-12,1,75.65217391304347,-0.11161550179235026,high
2023-10-13,1,96.55172413793103,-0.5101684321493213,high
2023-10-16,1,92.3076923076923,0.17249402356804527,high
2023-10-17,1,82.20338983050848,0.4618902525295106,high
2023-10-18,1,89.07563025210085,-0.9234682993879187,high
2023-10-19,-1,99.16666666666667,-1.363357819838617,high
2023-10-20,-1,98.34710743801654,-2.0464157941249663,high
2023-10-23,-1,87.70491803278688,-1.3136984182217577,high
2023-10-24,-1,80.48780487804879,0.29979728086166446,high
2023-10-25,-1,79.03225806451613,-0.3380926018578062,high
2023-10-26,-1,95.19999999999999,-1.8743781305324498,high
2023-10-27,-1,96.03174603174604,-1.2850735051668807,high
2023-10-30,-1,91.33858267716536,0.29464754043386626,high
2023-10-31,-1,73.4375,1.2213470900098682,normal
2023-11-01,1,68.21705426356588,1.9417058675058145,normal
2023-11-02,1,71.53846153846153,2.6389277847810377,normal
2023-11-03,1,54.961832061068705,2.227843873681318,normal
2023-11-06,1,25.0,1.2116316308212705,normal
2023-11-07,1,6.7669172932330826,0.5180428168329698,low
2023-11-08,1,11.194029850746269,0.34094849297105556,low
2023-11-09,1,42.22222222222222,-0.34446323783703997,normal
2023-11-10,1,58.08823529411765,0.5655778956987881,normal
2023-11-13,1,24.087591240875913,0.554339331519651,low
2023-11-14,1,71.73913043478261,2.0074232415878805,normal
2023-11-15,1,74.10071942446042,1.4462310152336684,normal
2023-11-16,1,17.857142857142858,0.13946666210374858,low
2023-11-17,1,4.25531914893617,-0.04622217132125194,low
2023-11-20,1,2.112676056338028,0.5364477991682467,low
2023-11-21,1,4.895104895104895,0.3481463237873478,low
2023-11-22,1,8.333333333333332,0.38955895412865305,low
2023-11-24,1,0.6896551724137931,0.1291788685750876,low
2023-11-27,1,0.0,0.20839159647779004,low
2023-11-28,1,2.7210884353741496,-0.12265351386596408,low
2023-11-29,1,18.243243243243242,-0.03447804217222235,low
2023-11-30,1,36.241610738255034,0.27353030584289856,normal
2023-12-01,1,36.0,0.29788425156929194,normal
2023-12-04,1,41.05960264900662,0.1950706347767492,normal
2023-12-05,1,32.89473684210527,0.06075251293666962,normal
2023-12-06,1,16.99346405228758,-0.08696572784989871,low
2023-12-07,1,21.428571428571427,0.18928290697780314,low
2023-12-08,1,32.903225806451616,0.36928389527140104,normal
2023-12-11,1,8.974358974358974,0.4932630156869376,low
2023-12-12,1,0.6369426751592357,0.5098623661198471,low
2023-12-13,1,24.68354430379747,1.3336466260643296,low
2023-12-14,1,72.32704402515722,1.2438632184291516,normal
2023-12-15,1,61.875,0.4383122774428205,normal
2023-12-18,1,14.906832298136646,-0.31204270964591935,low
2023-12-19,1,1.8518518518518516,0.43200537494870356,low
2023-12-20,1,30.061349693251532,-0.8839098518015095,normal
2023-12-21,1,77.4390243902439,-0.48505128022120425,high
2023-12-22,1,77.57575757575758,-0.5343322659367791,high
2023-12-26,1,28.313253012048197,0.3624875068536677,normal
2023-12-27,1,3.592814371257485,-0.10913810773808023,low
2023-12-28,1,2.380952380952381,-0.07212426016432096,low
2023-12-29,1,10.059171597633137,-0.42168818851591094,low
2024-01-02,1,59.411764705882355,-1.0594951891006763,normal
2024-01-03,-1,77.19298245614034,-1.510925210548808,high
2024-01-04,-1,60.46511627906976,-0.9518009412994894,normal
2024-01-05,-1,61.27167630057804,-0.4689055171479654,normal
2024-01-08,-1,55.172413793103445,0.5581443974132939,normal
2024-01-09,-1,37.714285714285715,0.47480635219626344,normal
2024-01-10,1,41.47727272727273,0.8027374836670287,normal
2024-01-11,1,71.1864406779661,0.3490406385463526,normal
2024-01-12,1,77.52808988764045,0.04478497717956728,high
2024-01-16,1,63.687150837988824,-0.30013311106697455,normal
2024-01-17,1,78.88888888888889,-1.006303528181842,high
2024-01-18,-1,74.58563535911603,-0.27074686835788453,normal
2024-01-19,1,60.98901098901099,1.4614057254285395,normal
2024-01-22,1,42.62295081967213,1.1954667392813956,normal
2024-01-23,1,9.782608695652174,0.7315662069652826,low
2024-01-24,1,18.37837837837838,-0.3845622080072039,low
2024-01-25,1,61.29032258064516,0.1729462382705437,normal
2024-01-26,1,32.62032085561498,-0.654894297202371,normal
2024-01-29,1,9.574468085106384,-0.016888189339265797,low
2024-01-30,1,2.6455026455026456,-0.07736851928728386,low
2024-01-31,1,57.36842105263158,-1.5820452146072486,normal
2024-02-01,1,97.38219895287958,-0.8964259127314465,high
2024-02-02,1,89.58333333333334,1.030616864172029,high
2024-02-05,1,76.68393782383419,0.8929247012541426,high
2024-02-06,1,48.96907216494845,0.13739898756544994,normal
2024-02-07,1,34.87179487179487,0.898815256217057,normal
2024-02-08,1,10.204081632653061,0.7192209832485176,low
2024-02-09,1,0.5076142131979695,0.11095614828513328,low
2024-02-12,1,6.565656565656567,0.14785884070200236,low
2024-02-13,1,84.42211055276381,-1.8733654890255127,high
2024-02-14,1,99.5,-1.1618407653315672,high
2024-02-15,-1,65.67164179104478,1.1535106441373766,normal
2024-02-16,1,56.43564356435643,-0.10282114110775745,normal
2024-02-20,1,81.77339901477832,-1.1980712266799363,high
2024-02-21,-1,74.01960784313727,-1.1761055759853345,normal
2024-02-22,1,86.34146341463415,2.0612355201432817,high
2024-02-23,1,83.00970873786407,2.1871252893992477,high
2024-02-26,1,28.019323671497588,-0.3750196215665249,normal
2024-02-27,1,6.730769230769231,-0.9895382745263888,low
2024-02-28,1,9.090909090909092,-0.8505230457899797,low
2024-02-29,1,31.428571428571427,-0.10993627025472398,normal
2024-03-01,1,38.862559241706165,1.0034451287577402,normal
2024-03-04,1,13.679245283018867,0.43504101825474734,low
2024-03-05,1,46.948356807511736,-1.146906801321244,normal
2024-03-06,1,91.58878504672897,-1.0131812932765876,high
2024-03-07,1,81.86046511627907,0.8253047252463276,high
2024-03-08,1,88.88888888888889,0.015222401724482817,high
2024-03-11,1,90.78341013824884,-1.0272117800492617,high
2024-03-12,1,69.26605504587155,-0.6411502252973882,normal
2024-03-13,1,53.42465753424658,1.070424315538738,normal
2024-03-14,1,77.27272727272727,-0.4085360214996968,high
2024-03-15,-1,95.92760180995475,-1.7093043420241172,high
2024-03-18,-1,80.18018018018019,-0.7748244834728752,high
2024-03-19,-1,55.15695067264574,0.7389287855167309,normal
2024-03-20,1,61.16071428571429,0.6857787604298003,normal
2024-03-21,1,60.88888888888889,1.7261782960627041,normal
2024-03-22,1,15.486725663716813,0.5627167485535548,low
2024-03-25,1,1.762114537444934,-1.1655304154032013,low
2024-03-26,1,1.7543859649122806,-0.9838080780872891,low
2024-03-27,1,17.46724890829694,0.1445607719136037,low
2024-03-28,1,15.217391304347828,-0.014288120183618103,low
2024-04-01,1,9.090909090909092,-0.005716031394500045,low
2024-04-02,1,35.3448275862069,-1.366470923258725,normal
2024-04-03,-1,57.93991416309014,-1.2092805023798001,normal
2024-04-04,-1,91.45299145299145,-1.2785765358319265,high
2024-04-05,-1,98.72340425531915,-0.8147879357163983,high
2024-04-08,-1,66.10169491525424,-1.2243475569155624,normal
2024-04-09,-1,67.51054852320675,0.4205763696270515,normal
2024-04-10,-1,99.57983193277312,-1.4051544041858441,high
2024-04-11,-1,99.16317991631799,-0.24426703195646904,high
2024-04-12,-1,97.08333333333333,-1.1154328465319787,high
2024-04-15,-1,98.7551867219917,-1.8864226920407632,high
2024-04-16,-1,98.34710743801654,-2.219497521476034,high
2024-04-17,-1,96.29629629629629,-2.4316594526213438,high
2024-04-18,-1,94.26229508196722,-0.8346911005942473,high
2024-04-19,-1,95.10204081632652,-1.8274470856434586,high
2024-04-22,-1,96.34146341463415,-0.5213423625586431,high
2024-04-23,-1,80.16194331983806,1.2646531723639565,high
2024-04-24,1,61.29032258064516,1.571418075018572,normal
2024-04-25,1,95.58232931726907,-0.25182286075819305,high
2024-04-26,1,96.0,0.26035195121413784,high
2024-04-29,1,62.94820717131474,1.7440802467721923,normal
2024-04-30,1,70.1195219123506,-1.1824003904463494,normal
2024-05-01,1,99.60159362549801,-1.7839056222448204,high
2024-05-02,-1,100.0,-0.6095174302874297,high
2024-05-03,-1,90.43824701195219,1.780163784956003,high
2024-05-06,1,62.15139442231076,2.3556606497118655,normal
2024-05-07,1,16.733067729083665,1.1438446189766411,low
2024-05-08,1,8.764940239043826,0.38470673236592096,low
2024-05-09,1,8.366533864541832,0.3540009356877461,low
2024-05-10,1,12.749003984063744,0.5162688384838151,low
2024-05-13,1,9.9601593625498,0.3546731207797797,low
2024-05-14,1,10.756972111553784,0.2943903243292189,low
2024-05-15,1,28.286852589641438,1.156596743309358,normal
2024-05-16,1,26.693227091633464,0.8581890598421671,normal
2024-05-17,1,9.9601593625498,0.3460891029293733,low
2024-05-20,1,7.569721115537849,-0.2134381223146253,low
2024-05-21,1,2.3904382470119523,0.24547345378288524,low
2024-05-22,1,7.968127490039841,-0.3604957371020847,low
2024-05-23,1,69.7211155378486,-0.7859698187462563,normal
2024-05-24,-1,75.2988047808765,-0.37184702738344505,high
2024-05-28,-1,37.45019920318725,-0.17902051735885252,normal
2024-05-29,-1,45.81673306772908,-0.4815556030065989,normal
2024-05-30,-1,57.76892430278885,-1.2066828650459358,normal
2024-05-31,-1,86.05577689243027,0.05012448303173624,high
2024-06-03,-1,92.82868525896414,0.5907137895886776,high
2024-06-04,-1,78.08764940239044,1.166173019296978,high
2024-06-05,1,53.38645418326693,0.9851726017984394,normal
2024-06-06,1,19.9203187250996,1.1447895792403358,low
2024-06-07,1,47.808764940239044,0.5058119981477438,normal
2024-06-10,1,49.00398406374502,-0.008225452560553882,normal
2024-06-11,1,37.45019920318725,0.24176632054841582,normal
2024-06-12,1,86.45418326693228,1.1191107444947574,high
2024-06-13,1,86.85258964143426,1.2543513019736472,high
2024-06-14,1,51.79282868525896,-0.33545098887109515,normal
2024-06-17,1,47.410358565737056,0.8507780778739441,normal
2024-06-18,1,29.08366533864542,1.1067239621064642,normal
2024-06-20,1,44.223107569721115,0.5918161693323924,normal
2024-06-21,1,70.1195219123506,-0.696864660340412,normal
2024-06-24,1,59.36254980079681,-1.1734465314637545,normal
2024-06-25,-1,43.82470119521912,-0.05931499856286519,normal
2024-06-26,-1,28.286852589641438,-0.11319545549139155,normal
2024-06-27,-1,38.24701195219124,0.23388932240898386,normal
2024-06-28,1,72.11155378486056,-0.11562480466641151,normal
2024-07-01,1,77.29083665338645,-0.35994785882700603,high
2024-07-02,1,43.02788844621514,-0.26694874973616006,normal
2024-07-03,1,25.89641434262948,0.5976901140876032,normal
2024-07-05,1,14.342629482071715,1.3527334315859745,low
2024-07-08,1,3.9840637450199203,1.1562772528061702,low
2024-07-09,1,3.187250996015936,0.3393987788883304,low
2024-07-10,1,13.94422310756972,0.6352170074001194,low
2024-07-11,1,48.20717131474104,-0.25435614565716913,normal
2024-07-12,1,82.47011952191235,0.062490723452218275,high
2024-07-15,1,84.06374501992032,-0.12752768345874355,high
2024-07-16,1,60.55776892430279,0.44755700257221553,normal
2024-07-17,1,70.91633466135458,-1.5706533053234097,normal
2024-07-18,-1,97.21115537848605,-2.256513611703324,high
2024-07-19,-1,97.60956175298804,-2.1004220143070795,high
2024-07-22,-1,90.83665338645417,-1.0928540694845874,high
2024-07-23,-1,74.9003984063745,0.10458134227339365,normal
2024-07-24,-1,90.83665338645417,-2.3451567126486004,high
2024-07-25,-1,100.0,-3.0,high
2024-07-26,-1,100.0,-0.4998850175480355,high
2024-07-29,-1,97.21115537848605,0.43434499938412463,high
2024-07-30,-1,92.82868525896414,-0.5798124018278309,high
2024-07-31,-1,99.20318725099602,0.6072915488677552,high
2024-08-01,1,99.20318725099602,-0.5863335487655461,high
2024-08-02,-1,100.0,-3.0,high
2024-08-05,-1,100.0,-3.0,high
2024-08-06,-1,100.0,-1.1729092958259355,high
2024-08-07,-1,99.20318725099602,0.5709644707442314,high
2024-08-08,-1,98.80478087649402,1.0663044145085752,high
2024-08-09,-1,96.81274900398407,0.555430414906506,high
2024-08-12,1,94.42231075697211,0.7368353999252945,high
2024-08-13,1,89.2430278884462,1.5405661790520921,high
2024-08-14,1,81.27490039840637,1.252196437791426,high
2024-08-15,1,76.89243027888446,1.9463765119566594,high
2024-08-16,1,53.38645418326693,1.4690660907357407,normal
2024-08-19,1,23.50597609561753,1.01350573982117,low
2024-08-20,1,26.693227091633464,0.5562869350963561,normal
2024-08-21,1,56.17529880478087,0.5019394895046297,normal
2024-08-22,1,83.26693227091634,-0.49909091580598325,high
2024-08-23,1,96.41434262948208,0.07717144217534953,high
2024-08-26,1,91.63346613545816,-0.22116392803615312,high
2024-08-27,1,36.65338645418327,-0.3076274455746019,normal
2024-08-28,1,64.5418326693227,-0.587106245606836,normal
2024-08-29,1,88.04780876494024,-0.47135753058285135,high
2024-08-30,-1,92.03187250996015,0.17745565276676775,high
2024-09-03,-1,95.2191235059761,-1.2540850123438145,high
2024-09-04,-1,89.2430278884462,-1.3104355179346503,high
2024-09-05,-1,90.0398406374502,-0.9535411411508377,high
2024-09-06,-1,96.81274900398407,-1.4491444692109112,high
2024-09-09,-1,95.2191235059761,-0.7642610681294751,high
2024-09-10,-1,86.85258964143426,0.5298005821095434,high
