date,p_bull,p_bear,p_sideways,regime,confidence
2024-06-13,0.4967,0.1865,0.3169,BULLISH,0.4967
2024-06-14,0.6033,0.1303,0.2664,BULLISH,0.6033
2024-06-17,0.6467,0.1132,0.2401,BULLISH,0.6467
2024-06-18,0.6774,0.1014,0.2212,BULLISH,0.6774
2024-06-20,0.7052,0.0904,0.2043,BULLISH,0.7052
2024-06-21,0.7337,0.0799,0.1864,BULLISH,0.7337
2024-06-24,0.7607,0.0697,0.1696,BULLISH,0.7607
2024-06-25,0.7845,0.0608,0.1546,BULLISH,0.7845
2024-06-26,0.804,0.0536,0.1423,BULLISH,0.804
2024-06-27,0.821,0.048,0.131,BULLISH,0.821
2024-06-28,0.8364,0.0431,0.1205,BULLISH,0.8364
2024-07-01,0.8506,0.039,0.1104,BULLISH,0.8506
2024-07-02,0.8649,0.035,0.1001,BULLISH,0.8649
2024-07-11,0.8779,0.0314,0.0907,BULLISH,0.8779
2024-07-12,0.8889,0.0282,0.0829,BULLISH,0.8889
2024-07-15,0.8985,0.0255,0.076,BULLISH,0.8985
2024-07-16,0.907,0.0232,0.0698,BULLISH,0.907
2024-07-17,0.9139,0.0213,0.0648,BULLISH,0.9139
2024-07-18,0.9197,0.0197,0.0606,BULLISH,0.9197
2024-07-19,0.9247,0.0183,0.057,BULLISH,0.9247
2024-07-22,0.9293,0.0169,0.0537,BULLISH,0.9293
2024-07-23,0.9341,0.0157,0.0502,BULLISH,0.9341
2024-07-24,0.9369,0.0149,0.0482,BULLISH,0.9369
2024-07-25,0.939,0.0142,0.0467,BULLISH,0.939
2024-07-26,0.9421,0.0134,0.0445,BULLISH,0.9421
2024-07-29,0.9451,0.0126,0.0423,BULLISH,0.9451
2024-07-30,0.9475,0.012,0.0405,BULLISH,0.9475
2024-07-31,0.9508,0.0112,0.038,BULLISH,0.9508
2024-08-01,0.9526,0.0108,0.0366,BULLISH,0.9526
2024-08-02,0.9528,0.0106,0.0366,BULLISH,0.9528
2024-08-05,0.9506,0.0109,0.0385,BULLISH,0.9506
2024-08-06,0.9486,0.0111,0.0403,BULLISH,0.9486
2024-08-07,0.9453,0.0115,0.0433,BULLISH,0.9453
2024-08-08,0.9429,0.0116,0.0456,BULLISH,0.9429
2024-08-09,0.9405,0.0117,0.0478,BULLISH,0.9405
2024-08-12,0.9369,0.0118,0.0513,BULLISH,0.9369
2024-08-13,0.9346,0.0118,0.0536,BULLISH,0.9346
2024-08-14,0.9343,0.0116,0.0541,BULLISH,0.9343
2024-08-15,0.9369,0.0111,0.052,BULLISH,0.9369
2024-08-16,0.9392,0.0106,0.0502,BULLISH,0.9392
2024-08-19,0.9418,0.0101,0.0481,BULLISH,0.9418
2024-08-20,0.9429,0.0098,0.0473,BULLISH,0.9429
2024-08-21,0.9452,0.0094,0.0455,BULLISH,0.9452
2024-08-22,0.946,0.0091,0.0449,BULLISH,0.946
2024-08-23,0.9476,0.0088,0.0436,BULLISH,0.9476
2024-08-26,0.9486,0.0085,0.0429,BULLISH,0.9486
2024-08-27,0.9497,0.0082,0.0421,BULLISH,0.9497
2024-08-28,0.9478,0.0082,0.0441,BULLISH,0.9478
2024-08-29,0.947,0.0081,0.0449,BULLISH,0.947
2024-08-30,0.9488,0.0078,0.0434,BULLISH,0.9488
2024-09-03,0.9473,0.0077,0.045,BULLISH,0.9473
2024-09-04,0.9424,0.0079,0.0498,BULLISH,0.9424
2024-09-05,0.9358,0.008,0.0562,BULLISH,0.9358
2024-09-06,0.9142,0.0089,0.077,BULLISH,0.9142
2024-09-09,0.8873,0.0097,0.103,BULLISH,0.8873
2024-09-10,0.8558,0.0107,0.1335,BULLISH,0.8558
2024-09-11,0.822,0.0118,0.1662,BULLISH,0.822
2024-09-12,0.7961,0.0125,0.1914,BULLISH,0.7961
2024-09-13,0.7626,0.0133,0.2241,BULLISH,0.7626
2024-09-16,0.726,0.0141,0.2599,BULLISH,0.726
2024-09-17,0.6843,0.0147,0.301,BULLISH,0.6843
2024-09-18,0.6493,0.015,0.3357,BULLISH,0.6493
2024-09-19,0.6691,0.0139,0.317,BULLISH,0.6691
2024-09-20,0.7108,0.0124,0.2768,BULLISH,0.7108
2024-09-23,0.763,0.0106,0.2264,BULLISH,0.763
2024-09-24,0.8248,0.0087,0.1665,BULLISH,0.8248
2024-09-25,0.8746,0.0072,0.1182,BULLISH,0.8746
2024-09-26,0.9152,0.0061,0.0787,BULLISH,0.9152
2024-09-27,0.9374,0.0055,0.0571,BULLISH,0.9374
2024-09-30,0.9509,0.005,0.044,BULLISH,0.9509
2024-10-01,0.9588,0.0047,0.0364,BULLISH,0.9588
2024-10-02,0.965,0.0044,0.0306,BULLISH,0.965
2024-10-03,0.969,0.0042,0.0267,BULLISH,0.969
2024-10-04,0.9734,0.004,0.0226,BULLISH,0.9734
2024-10-07,0.9758,0.0038,0.0204,BULLISH,0.9758
2024-10-08,0.978,0.0036,0.0184,BULLISH,0.978
2024-10-09,0.98,0.0035,0.0165,BULLISH,0.98
2024-10-10,0.9814,0.0034,0.0152,BULLISH,0.9814
2024-10-11,0.9828,0.0032,0.014,BULLISH,0.9828
2024-10-14,0.9841,0.0031,0.0128,BULLISH,0.9841
2024-10-15,0.9851,0.003,0.012,BULLISH,0.9851
2024-10-16,0.9859,0.0029,0.0112,BULLISH,0.9859
2024-10-17,0.9865,0.0028,0.0107,BULLISH,0.9865
2024-10-18,0.9872,0.0027,0.0101,BULLISH,0.9872
2024-10-21,0.9877,0.0026,0.0096,BULLISH,0.9877
2024-10-22,0.9882,0.0025,0.0092,BULLISH,0.9882
2024-10-23,0.9886,0.0025,0.0089,BULLISH,0.9886
2024-10-24,0.989,0.0024,0.0086,BULLISH,0.989
2024-10-25,0.9892,0.0024,0.0084,BULLISH,0.9892
2024-10-28,0.9895,0.0023,0.0082,BULLISH,0.9895
2024-10-29,0.9898,0.0023,0.0079,BULLISH,0.9898
2024-10-30,0.9901,0.0022,0.0077,BULLISH,0.9901
2024-10-31,0.9902,0.0022,0.0076,BULLISH,0.9902
2024-11-01,0.9903,0.0021,0.0076,BULLISH,0.9903
2024-11-04,0.9904,0.0021,0.0075,BULLISH,0.9904
2024-11-05,0.9906,0.0021,0.0073,BULLISH,0.9906
2024-11-06,0.9909,0.002,0.0071,BULLISH,0.9909
2024-11-07,0.9912,0.0019,0.0069,BULLISH,0.9912
2024-11-08,0.9915,0.0019,0.0066,BULLISH,0.9915
2024-11-11,0.9918,0.0018,0.0064,BULLISH,0.9918
2024-11-12,0.9921,0.0018,0.0062,BULLISH,0.9921
2024-11-13,0.9923,0.0017,0.006,BULLISH,0.9923
2024-11-14,0.9925,0.0017,0.0058,BULLISH,0.9925
2024-11-15,0.9927,0.0016,0.0057,BULLISH,0.9927
2024-11-18,0.9928,0.0016,0.0056,BULLISH,0.9928
2024-11-19,0.993,0.0016,0.0054,BULLISH,0.993
2024-11-20,0.9931,0.0015,0.0053,BULLISH,0.9931
2024-11-21,0.9933,0.0015,0.0052,BULLISH,0.9933
2024-11-22,0.9935,0.0015,0.0051,BULLISH,0.9935
2024-11-25,0.9936,0.0014,0.0049,BULLISH,0.9936
2024-11-26,0.9938,0.0014,0.0048,BULLISH,0.9938
2024-11-27,0.994,0.0014,0.0047,BULLISH,0.994
2024-11-29,0.9942,0.0013,0.0045,BULLISH,0.9942
2024-12-02,0.9943,0.0013,0.0044,BULLISH,0.9943
2024-12-03,0.9945,0.0013,0.0042,BULLISH,0.9945
2024-12-04,0.9946,0.0012,0.0041,BULLISH,0.9946
2024-12-05,0.9948,0.0012,0.004,BULLISH,0.9948
2024-12-06,0.9949,0.0012,0.0039,BULLISH,0.9949
2024-12-09,0.995,0.0012,0.0038,BULLISH,0.995
2024-12-10,0.9951,0.0012,0.0038,BULLISH,0.9951
2024-12-11,0.9952,0.0011,0.0037,BULLISH,0.9952
2024-12-12,0.9953,0.0011,0.0036,BULLISH,0.9953
2024-12-13,0.9954,0.0011,0.0035,BULLISH,0.9954
2024-12-16,0.9955,0.0011,0.0035,BULLISH,0.9955
2024-12-17,0.9956,0.001,0.0034,BULLISH,0.9956
2024-12-18,0.9956,0.001,0.0034,BULLISH,0.9956
2024-12-19,0.9956,0.001,0.0034,BULLISH,0.9956
2024-12-20,0.9956,0.001,0.0034,BULLISH,0.9956
2024-12-23,0.9957,0.001,0.0033,BULLISH,0.9957
2024-12-24,0.9957,0.001,0.0033,BULLISH,0.9957
2024-12-26,0.9958,0.001,0.0032,BULLISH,0.9958
2024-12-27,0.9959,0.001,0.0032,BULLISH,0.9959
2024-12-30,0.9959,0.001,0.0032,BULLISH,0.9959
2024-12-31,0.9959,0.001,0.0031,BULLISH,0.9959
2025-01-02,0.9959,0.001,0.0032,BULLISH,0.9959
2025-01-03,0.9959,0.001,0.0031,BULLISH,0.9959
2025-01-06,0.9959,0.0009,0.0031,BULLISH,0.9959
2025-01-07,0.9959,0.0009,0.0031,BULLISH,0.9959
2025-01-08,0.9959,0.0009,0.0031,BULLISH,0.9959
2025-01-10,0.9959,0.0009,0.0032,BULLISH,0.9959
2025-01-13,0.9959,0.0009,0.0032,BULLISH,0.9959
2025-01-14,0.9958,0.0009,0.0032,BULLISH,0.9958
2025-01-15,0.9958,0.0009,0.0032,BULLISH,0.9958
2025-01-16,0.9958,0.0009,0.0033,BULLISH,0.9958
2025-01-17,0.9958,0.0009,0.0033,BULLISH,0.9958
2025-01-21,0.9958,0.0009,0.0033,BULLISH,0.9958
2025-01-22,0.9958,0.0009,0.0033,BULLISH,0.9958
2025-01-23,0.9958,0.0009,0.0033,BULLISH,0.9958
2025-01-24,0.9958,0.0009,0.0033,BULLISH,0.9958
2025-01-27,0.9958,0.0009,0.0033,BULLISH,0.9958
2025-01-28,0.9957,0.0009,0.0034,BULLISH,0.9957
2025-01-29,0.9957,0.0009,0.0034,BULLISH,0.9957
2025-01-30,0.9957,0.0009,0.0034,BULLISH,0.9957
2025-01-31,0.9957,0.0009,0.0034,BULLISH,0.9957
2025-02-03,0.9956,0.0009,0.0035,BULLISH,0.9956
2025-02-04,0.9955,0.0009,0.0036,BULLISH,0.9955
2025-02-05,0.9954,0.0009,0.0037,BULLISH,0.9954
2025-02-06,0.9954,0.0009,0.0037,BULLISH,0.9954
2025-02-07,0.9953,0.0009,0.0038,BULLISH,0.9953
2025-02-10,0.9953,0.0009,0.0038,BULLISH,0.9953
2025-02-11,0.9953,0.0009,0.0038,BULLISH,0.9953
2025-02-12,0.9953,0.0009,0.0038,BULLISH,0.9953
2025-02-13,0.9953,0.0009,0.0038,BULLISH,0.9953
2025-02-14,0.9953,0.0009,0.0038,BULLISH,0.9953
2025-02-18,0.9953,0.0009,0.0038,BULLISH,0.9953
2025-02-19,0.9953,0.0009,0.0038,BULLISH,0.9953
2025-02-20,0.9953,0.0009,0.0038,BULLISH,0.9953
2025-02-21,0.9953,0.0009,0.0038,BULLISH,0.9953
2025-02-24,0.9952,0.0009,0.0039,BULLISH,0.9952
2025-02-25,0.9951,0.0009,0.004,BULLISH,0.9951
2025-02-26,0.9951,0.0009,0.0041,BULLISH,0.9951
2025-02-27,0.9949,0.0009,0.0042,BULLISH,0.9949
2025-02-28,0.9949,0.0009,0.0042,BULLISH,0.9949
2025-03-03,0.9948,0.0009,0.0044,BULLISH,0.9948
2025-03-04,0.9945,0.0009,0.0046,BULLISH,0.9945
2025-03-05,0.9943,0.0009,0.0048,BULLISH,0.9943
2025-03-06,0.9937,0.001,0.0054,BULLISH,0.9937
2025-03-07,0.9926,0.001,0.0064,BULLISH,0.9926
2025-03-10,0.9898,0.0011,0.0091,BULLISH,0.9898
2025-03-11,0.9802,0.0015,0.0183,BULLISH,0.9802
2025-03-12,0.9526,0.0024,0.045,BULLISH,0.9526
2025-03-13,0.8932,0.0039,0.1029,BULLISH,0.8932
2025-03-14,0.8534,0.0045,0.1421,BULLISH,0.8534
2025-03-17,0.8284,0.0047,0.1669,BULLISH,0.8284
2025-03-18,0.7985,0.0049,0.1966,BULLISH,0.7985
2025-03-19,0.7641,0.0052,0.2308,BULLISH,0.7641
2025-03-20,0.7258,0.0053,0.2689,BULLISH,0.7258
2025-03-21,0.6898,0.0055,0.3048,BULLISH,0.6898
2025-03-24,0.6558,0.0056,0.3387,BULLISH,0.6558
2025-03-25,0.6155,0.0057,0.3788,BULLISH,0.6155
2025-03-26,0.5657,0.0059,0.4283,BULLISH,0.5657
2025-03-27,0.5206,0.0062,0.4732,BULLISH,0.5206
2025-03-28,0.4702,0.0064,0.5234,SIDEWAYS,0.5234
2025-03-31,0.427,0.0064,0.5667,SIDEWAYS,0.5667
2025-04-01,0.3864,0.0063,0.6072,SIDEWAYS,0.6072
2025-04-02,0.3474,0.0062,0.6464,SIDEWAYS,0.6464
2025-04-03,0.3001,0.0059,0.694,SIDEWAYS,0.694
2025-04-04,0.2593,0.0056,0.7352,SIDEWAYS,0.7352
2025-04-07,0.2262,0.0053,0.7685,SIDEWAYS,0.7685
2025-04-08,0.196,0.0051,0.7989,SIDEWAYS,0.7989
2025-04-09,0.1752,0.005,0.8198,SIDEWAYS,0.8198
2025-04-10,0.1519,0.0048,0.8434,SIDEWAYS,0.8434
2025-04-11,0.1323,0.0045,0.8632,SIDEWAYS,0.8632
2025-04-14,0.1169,0.0043,0.8789,SIDEWAYS,0.8789
2025-04-15,0.104,0.004,0.8919,SIDEWAYS,0.8919
2025-04-16,0.0924,0.0038,0.9038,SIDEWAYS,0.9038
2025-04-17,0.0829,0.0036,0.9135,SIDEWAYS,0.9135
2025-04-21,0.0744,0.0034,0.9221,SIDEWAYS,0.9221
2025-04-22,0.0673,0.0033,0.9294,SIDEWAYS,0.9294
2025-04-23,0.0613,0.0032,0.9355,SIDEWAYS,0.9355
2025-04-24,0.0568,0.0031,0.9401,SIDEWAYS,0.9401
2025-04-25,0.0528,0.003,0.9442,SIDEWAYS,0.9442
2025-04-28,0.0494,0.003,0.9476,SIDEWAYS,0.9476
2025-04-29,0.0463,0.003,0.9507,SIDEWAYS,0.9507
2025-04-30,0.0433,0.0029,0.9537,SIDEWAYS,0.9537
2025-05-01,0.0407,0.0029,0.9564,SIDEWAYS,0.9564
2025-05-02,0.039,0.0029,0.9582,SIDEWAYS,0.9582
2025-05-05,0.0378,0.0028,0.9593,SIDEWAYS,0.9593
