indicator,horizon,regime,dcor,n_samples
RSI_7,fwd_12bar,ALL,0.15596106124931117,48213
RSI_7,fwd_12bar,BULLISH,0.17554795147154026,20570
RSI_7,fwd_12bar,BEARISH,0.12306782703305216,14778
RSI_7,fwd_12bar,SIDEWAYS,0.12820632932156786,12865
RSI_7,fwd_48bar,ALL,0.0829761728739119,48177
RSI_7,fwd_48bar,BULLISH,0.08997170936637809,20570
RSI_7,fwd_48bar,BEARISH,0.08413257213532964,14748
RSI_7,fwd_48bar,SIDEWAYS,0.09929298240773637,12859
RSI_14,fwd_12bar,ALL,0.16894441000938132,48206
RSI_14,fwd_12bar,BULLISH,0.19526587434367712,20570
RSI_14,fwd_12bar,BEARISH,0.12879469989677717,14778
RSI_14,fwd_12bar,SIDEWAYS,0.13744853223293224,12858
RSI_14,fwd_48bar,ALL,0.09102232613824977,48170
RSI_14,fwd_48bar,BULLISH,0.09853769503518554,20570
RSI_14,fwd_48bar,BEARISH,0.10088211429314076,14748
RSI_14,fwd_48bar,SIDEWAYS,0.10140806410841335,12852
RSI_21,fwd_12bar,ALL,0.17273415639146722,48199
RSI_21,fwd_12bar,BULLISH,0.2060724552611097,20570
RSI_21,fwd_12bar,BEARISH,0.12880105286607266,14778
RSI_21,fwd_12bar,SIDEWAYS,0.13475331857782663,12851
RSI_21,fwd_48bar,ALL,0.09584459613069599,48163
RSI_21,fwd_48bar,BULLISH,0.10352959734034867,20570
RSI_21,fwd_48bar,BEARISH,0.11057122854852708,14748
RSI_21,fwd_48bar,SIDEWAYS,0.10777928701888914,12845
RSI_3,fwd_12bar,ALL,0.13233282710257985,48217
RSI_3,fwd_12bar,BULLISH,0.14781675018121593,20570
RSI_3,fwd_12bar,BEARISH,0.10547468569024046,14778
RSI_3,fwd_12bar,SIDEWAYS,0.11190016206025184,12869
RSI_3,fwd_48bar,ALL,0.07045231154414294,48181
RSI_3,fwd_48bar,BULLISH,0.07711027269444196,20570
RSI_3,fwd_48bar,BEARISH,0.06675212487961818,14748
RSI_3,fwd_48bar,SIDEWAYS,0.09360600340487792,12863
SMA_10_50_cross,fwd_12bar,ALL,0.1291980802778733,48172
SMA_10_50_cross,fwd_12bar,BULLISH,0.13236418794662683,20570
SMA_10_50_cross,fwd_12bar,BEARISH,0.1537696411495872,14778
SMA_10_50_cross,fwd_12bar,SIDEWAYS,0.1499817008593475,12824
SMA_10_50_cross,fwd_48bar,ALL,0.11312187069783804,48136
SMA_10_50_cross,fwd_48bar,BULLISH,0.0920426201338981,20570
SMA_10_50_cross,fwd_48bar,BEARISH,0.14042493780214277,14748
SMA_10_50_cross,fwd_48bar,SIDEWAYS,0.13337632844562594,12818
SMA_20_50_cross,fwd_12bar,ALL,0.12121276368973341,48172
SMA_20_50_cross,fwd_12bar,BULLISH,0.12951196551356398,20570
SMA_20_50_cross,fwd_12bar,BEARISH,0.14427370982411108,14778
SMA_20_50_cross,fwd_12bar,SIDEWAYS,0.12074917446889008,12824
SMA_20_50_cross,fwd_48bar,ALL,0.10968571088614151,48136
SMA_20_50_cross,fwd_48bar,BULLISH,0.09630418830304344,20570
SMA_20_50_cross,fwd_48bar,BEARISH,0.1310896479314577,14748
SMA_20_50_cross,fwd_48bar,SIDEWAYS,0.11085044223386467,12818
SMA_30_50_cross,fwd_12bar,ALL,0.11436792153754145,48172
SMA_30_50_cross,fwd_12bar,BULLISH,0.1219063249584873,20570
SMA_30_50_cross,fwd_12bar,BEARISH,0.13302537005139203,14778
SMA_30_50_cross,fwd_12bar,SIDEWAYS,0.11129111366655645,12824
SMA_30_50_cross,fwd_48bar,ALL,0.1083540149607408,48136
SMA_30_50_cross,fwd_48bar,BULLISH,0.10161654809197955,20570
SMA_30_50_cross,fwd_48bar,BEARISH,0.1300013940428069,14748
SMA_30_50_cross,fwd_48bar,SIDEWAYS,0.09582035940599071,12818
SMA_30_80_cross,fwd_12bar,ALL,0.11467236951801196,48142
SMA_30_80_cross,fwd_12bar,BULLISH,0.10650083172911205,20570
SMA_30_80_cross,fwd_12bar,BEARISH,0.13698400909919675,14761
SMA_30_80_cross,fwd_12bar,SIDEWAYS,0.07153770563790376,12811
SMA_30_80_cross,fwd_48bar,ALL,0.13710156679090418,48106
SMA_30_80_cross,fwd_48bar,BULLISH,0.14222439599002656,20570
SMA_30_80_cross,fwd_48bar,BEARISH,0.20080049548236015,14731
SMA_30_80_cross,fwd_48bar,SIDEWAYS,0.08289746145678657,12805
SMA_50_200_cross,fwd_12bar,ALL,0.12405757466426064,48022
SMA_50_200_cross,fwd_12bar,BULLISH,0.08633787906667825,20483
SMA_50_200_cross,fwd_12bar,BEARISH,0.15388782873583107,14761
SMA_50_200_cross,fwd_12bar,SIDEWAYS,0.1283618390627715,12778
SMA_50_200_cross,fwd_48bar,ALL,0.1676865434250979,47986
SMA_50_200_cross,fwd_48bar,BULLISH,0.20665003683404498,20483
SMA_50_200_cross,fwd_48bar,BEARISH,0.26151701761059537,14731
SMA_50_200_cross,fwd_48bar,SIDEWAYS,0.13283212123187166,12772
Price_vs_SMA200_pct,fwd_12bar,ALL,0.13910440338399616,48022
Price_vs_SMA200_pct,fwd_12bar,BULLISH,0.09759187067677827,20483
Price_vs_SMA200_pct,fwd_12bar,BEARISH,0.1803188831635775,14761
Price_vs_SMA200_pct,fwd_12bar,SIDEWAYS,0.11356720550248979,12778
Price_vs_SMA200_pct,fwd_48bar,ALL,0.16237773270920927,47986
Price_vs_SMA200_pct,fwd_48bar,BULLISH,0.18140344804446748,20483
Price_vs_SMA200_pct,fwd_48bar,BEARISH,0.2558494663604094,14731
Price_vs_SMA200_pct,fwd_48bar,SIDEWAYS,0.11417619955495503,12772
BB_pos_10,fwd_12bar,ALL,0.054254719174914104,38192
BB_pos_10,fwd_12bar,BULLISH,0.0315119588075055,14887
BB_pos_10,fwd_12bar,BEARISH,0.050250985241977346,12368
BB_pos_10,fwd_12bar,SIDEWAYS,0.05165574010179951,10937
BB_pos_10,fwd_48bar,ALL,0.04332862577479129,38192
BB_pos_10,fwd_48bar,BULLISH,0.025890768675346894,14887
BB_pos_10,fwd_48bar,BEARISH,0.03853833823719053,12368
BB_pos_10,fwd_48bar,SIDEWAYS,0.044498873381869336,10937
BB_pos_15,fwd_12bar,ALL,0.05911030504963455,40061
BB_pos_15,fwd_12bar,BULLISH,0.030239103923635935,15777
BB_pos_15,fwd_12bar,BEARISH,0.05095095340513693,12886
BB_pos_15,fwd_12bar,SIDEWAYS,0.055041384873395244,11398
BB_pos_15,fwd_48bar,ALL,0.051814063382664595,40061
BB_pos_15,fwd_48bar,BULLISH,0.0250897545320302,15777
BB_pos_15,fwd_48bar,BEARISH,0.04690942221842396,12886
BB_pos_15,fwd_48bar,SIDEWAYS,0.049684244367234516,11398
BB_pos_20,fwd_12bar,ALL,0.06199068616871643,41244
BB_pos_20,fwd_12bar,BULLISH,0.02606170845116556,16335
BB_pos_20,fwd_12bar,BEARISH,0.05029081750141552,13221
BB_pos_20,fwd_12bar,SIDEWAYS,0.056820728806049416,11688
BB_pos_20,fwd_48bar,ALL,0.05801599293178311,41244
BB_pos_20,fwd_48bar,BULLISH,0.02386731719691655,16335
BB_pos_20,fwd_48bar,BEARISH,0.0511011133538954,13221
BB_pos_20,fwd_48bar,SIDEWAYS,0.05390641619430138,11688
BB_pos_15_wide,fwd_12bar,ALL,0.059110305049688075,40061
BB_pos_15_wide,fwd_12bar,BULLISH,0.030239103923940826,15777
BB_pos_15_wide,fwd_12bar,BEARISH,0.05095095340626296,12886
BB_pos_15_wide,fwd_12bar,SIDEWAYS,0.05504138487356563,11398
BB_pos_15_wide,fwd_48bar,ALL,0.05181406338290384,40061
BB_pos_15_wide,fwd_48bar,BULLISH,0.025089754532821442,15777
BB_pos_15_wide,fwd_48bar,BEARISH,0.04690942221958043,12886
BB_pos_15_wide,fwd_48bar,SIDEWAYS,0.04968424436820711,11398
Momentum_6bar,fwd_12bar,ALL,0.1458772899839292,48215
Momentum_6bar,fwd_12bar,BULLISH,0.146015715651326,20570
Momentum_6bar,fwd_12bar,BEARISH,0.12890796239765395,14778
Momentum_6bar,fwd_12bar,SIDEWAYS,0.1553346918973563,12867
Momentum_6bar,fwd_48bar,ALL,0.09729108051404725,48179
Momentum_6bar,fwd_48bar,BULLISH,0.08656316426436059,20570
Momentum_6bar,fwd_48bar,BEARISH,0.09092471003890074,14748
Momentum_6bar,fwd_48bar,SIDEWAYS,0.13110884665067968,12861
Momentum_12bar,fwd_12bar,ALL,0.1456209448429864,48209
Momentum_12bar,fwd_12bar,BULLISH,0.13732455063710827,20570
Momentum_12bar,fwd_12bar,BEARISH,0.1397277347634028,14778
Momentum_12bar,fwd_12bar,SIDEWAYS,0.18365590043404975,12861
Momentum_12bar,fwd_48bar,ALL,0.10539276706850127,48173
Momentum_12bar,fwd_48bar,BULLISH,0.0820961085854912,20570
Momentum_12bar,fwd_48bar,BEARISH,0.11674454940984352,14748
Momentum_12bar,fwd_48bar,SIDEWAYS,0.14600805389686286,12855
Momentum_24bar,fwd_12bar,ALL,0.1397788135062423,48197
Momentum_24bar,fwd_12bar,BULLISH,0.13374136623569452,20570
Momentum_24bar,fwd_12bar,BEARISH,0.15526453191043085,14778
Momentum_24bar,fwd_12bar,SIDEWAYS,0.16793705050077712,12849
Momentum_24bar,fwd_48bar,ALL,0.11118320299438086,48161
Momentum_24bar,fwd_48bar,BULLISH,0.0821962243855862,20570
Momentum_24bar,fwd_48bar,BEARISH,0.13301306862614648,14748
Momentum_24bar,fwd_48bar,SIDEWAYS,0.1521704273385584,12843
Momentum_48bar,fwd_12bar,ALL,0.130581128229753,48173
Momentum_48bar,fwd_12bar,BULLISH,0.12772357094055842,20570
Momentum_48bar,fwd_12bar,BEARISH,0.1613676788653139,14778
Momentum_48bar,fwd_12bar,SIDEWAYS,0.14243309711163854,12825
Momentum_48bar,fwd_48bar,ALL,0.12119134991267949,48137
Momentum_48bar,fwd_48bar,BULLISH,0.11100426156076994,20570
Momentum_48bar,fwd_48bar,BEARISH,0.15867625920221187,14748
Momentum_48bar,fwd_48bar,SIDEWAYS,0.12924173709205694,12819
ATR_14_pct,fwd_12bar,ALL,0.2767479294835772,48207
ATR_14_pct,fwd_12bar,BULLISH,0.2841086240834614,20570
ATR_14_pct,fwd_12bar,BEARISH,0.23201441104208353,14778
ATR_14_pct,fwd_12bar,SIDEWAYS,0.2824439441210123,12859
ATR_14_pct,fwd_48bar,ALL,0.17761510095355343,48171
ATR_14_pct,fwd_48bar,BULLISH,0.17500335030318406,20570
ATR_14_pct,fwd_48bar,BEARISH,0.13582866300033505,14748
ATR_14_pct,fwd_48bar,SIDEWAYS,0.23524251275283872,12853
ATR_28_pct,fwd_12bar,ALL,0.2626225654734091,48193
ATR_28_pct,fwd_12bar,BULLISH,0.26688588253200785,20570
ATR_28_pct,fwd_12bar,BEARISH,0.22136057828819306,14778
ATR_28_pct,fwd_12bar,SIDEWAYS,0.2623301916569217,12845
ATR_28_pct,fwd_48bar,ALL,0.16513751829897474,48157
ATR_28_pct,fwd_48bar,BULLISH,0.1658426318688534,20570
ATR_28_pct,fwd_48bar,BEARISH,0.12933088508033036,14748
ATR_28_pct,fwd_48bar,SIDEWAYS,0.21020709250887734,12839
Vol_ratio_20,fwd_12bar,ALL,0.014020531324351755,47956
Vol_ratio_20,fwd_12bar,BULLISH,0.03656121179742903,20378
Vol_ratio_20,fwd_12bar,BEARISH,0.02031808247784231,14759
Vol_ratio_20,fwd_12bar,SIDEWAYS,0.012728433861491785,12819
Vol_ratio_20,fwd_48bar,ALL,0.008231719326219529,47920
Vol_ratio_20,fwd_48bar,BULLISH,0.020100530894257847,20378
Vol_ratio_20,fwd_48bar,BEARISH,0.01694800887933281,14729
Vol_ratio_20,fwd_48bar,SIDEWAYS,0.011016620905531032,12813
Vol_ratio_50,fwd_12bar,ALL,0.018486635293085103,48044
Vol_ratio_50,fwd_12bar,BULLISH,0.07006646367660348,20444
Vol_ratio_50,fwd_12bar,BEARISH,0.0325316533087763,14776
Vol_ratio_50,fwd_12bar,SIDEWAYS,0.013739850446441578,12824
Vol_ratio_50,fwd_48bar,ALL,0.009167320391978215,48008
Vol_ratio_50,fwd_48bar,BULLISH,0.04325917188009731,20444
Vol_ratio_50,fwd_48bar,BEARISH,0.024240887925089785,14746
Vol_ratio_50,fwd_48bar,SIDEWAYS,0.010194048342964826,12818
Volume,fwd_12bar,ALL,0.10123390363902254,48221
Volume,fwd_12bar,BULLISH,0.09768857494872457,20570
Volume,fwd_12bar,BEARISH,0.13881810292360175,14778
Volume,fwd_12bar,SIDEWAYS,0.1219939727582721,12873
Volume,fwd_48bar,ALL,0.10386255468253862,48185
Volume,fwd_48bar,BULLISH,0.08520314055249839,20570
Volume,fwd_48bar,BEARISH,0.17513457387004958,14748
Volume,fwd_48bar,SIDEWAYS,0.10930688571747087,12867
